CPU_USAGE,MEMORY_USAGE,Time
0,0,1688119438.7506392
0,0,1688119443.813744
0,0,1688119448.8463411
0,0,1688119453.892696
0,0,1688119458.931249
0,0,1688119463.9608278
0,0,1688119469.004245
